City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Elizabeth City,US,36.29,-76.25,87.8,66,1,14.99,clear sky
165,Santa Rosa,PH,14.31,121.11,82.0,88,100,2.24,overcast clouds
166,Butaritari,KI,3.07,172.79,82.78,69,97,10.56,overcast clouds
167,Iwaki,JP,37.05,140.88,79.0,91,73,6.82,broken clouds
168,Thompson,CA,55.74,-97.86,55.4,93,90,4.7,light rain
169,Port-Gentil,GA,-0.72,8.78,77.0,83,75,13.82,broken clouds
170,Sarkand,KZ,45.41,79.92,66.29,32,91,5.99,overcast clouds
171,Beaupre,CA,47.04,-70.9,75.2,64,75,12.75,broken clouds
172,Korla,CN,41.76,86.15,76.82,33,0,3.02,clear sky
173,Dzhebariki-Khaya,RU,62.22,135.8,46.81,54,93,1.5,overcast clouds
174,Krasnoselkup,RU,65.7,82.47,49.01,91,97,1.21,overcast clouds
175,Saint George,US,37.1,-113.58,105.01,18,1,4.7,clear sky
176,Jining,CN,35.41,116.58,75.43,96,98,9.4,light rain
177,Toledo,ES,39.83,-4.0,84.99,15,11,2.77,few clouds
178,Bambanglipuro,ID,-7.95,110.28,72.79,90,13,3.69,few clouds
179,Rockland,US,41.17,-74.05,89.01,60,34,6.55,scattered clouds
180,Chapais,CA,49.78,-74.85,68.0,42,20,8.05,few clouds
181,Poum,NC,-20.23,164.02,72.05,79,16,20.27,few clouds
182,Pedro Ii,BR,-4.42,-41.46,80.53,31,79,2.62,broken clouds
183,Riyadh,SA,24.69,46.72,95.0,15,58,5.82,broken clouds
184,Mackay,AU,-21.15,149.2,48.99,93,0,5.82,clear sky
185,Salalah,OM,17.02,54.09,77.0,94,90,5.82,haze
186,Constitucion,CL,-35.33,-72.42,53.11,75,100,17.92,overcast clouds
187,Englewood,US,39.65,-104.99,96.01,18,75,10.29,broken clouds
188,Hobyo,SO,5.35,48.53,75.78,78,43,25.03,scattered clouds
189,Isangel,VU,-19.55,169.27,80.6,88,75,2.24,broken clouds
190,Zhigansk,RU,66.77,123.37,39.34,91,6,15.61,clear sky
191,Szprotawa,PL,51.57,15.54,63.0,38,6,6.53,clear sky
192,Halifax,CA,44.65,-63.57,73.0,49,80,5.01,broken clouds
193,Amalapuram,IN,16.58,82.02,77.76,93,100,1.5,overcast clouds
194,Saint Anthony,US,45.02,-93.22,91.99,43,1,3.36,clear sky
195,Kabelvag,NO,68.21,14.48,51.8,81,75,14.99,shower rain
196,Sobolevo,RU,54.43,31.9,61.18,75,96,10.31,overcast clouds
197,Wahiawa,US,21.5,-158.02,89.6,61,90,14.99,overcast clouds
198,Bongandanga,CD,1.5,21.05,68.65,96,100,0.25,overcast clouds
199,Taltal,CL,-25.4,-70.48,56.3,67,33,1.5,scattered clouds
200,Alta Floresta,BR,-9.88,-56.09,95.0,26,0,3.36,clear sky
201,Sorong,ID,-0.88,131.25,76.69,90,75,7.47,broken clouds
202,College,US,64.86,-147.8,66.2,59,75,1.5,broken clouds
203,Iskateley,RU,67.68,53.15,54.3,88,4,12.5,clear sky
204,Geraldton,AU,-28.77,114.6,46.4,93,0,10.29,clear sky
205,Kruisfontein,ZA,-34.0,24.73,55.99,84,100,1.01,overcast clouds
206,Kudahuvadhoo,MV,2.67,72.89,83.08,70,100,4.68,light rain
207,Georgetown,MY,5.41,100.34,80.6,94,20,3.4,few clouds
208,Aklavik,CA,68.22,-135.01,69.8,52,75,12.75,broken clouds
209,Kinablangan,PH,7.69,126.55,78.64,81,6,3.49,clear sky
210,Saint-Francois,FR,46.42,3.91,59.0,67,19,3.42,few clouds
211,Abha,SA,18.22,42.51,71.6,77,60,4.94,broken clouds
212,Weligama,LK,5.97,80.42,77.94,85,21,3.83,few clouds
213,North Platte,US,41.12,-100.77,98.6,29,1,9.17,clear sky
214,Lazaro Cardenas,MX,17.96,-102.2,84.83,74,43,7.16,scattered clouds
215,Moerai,PF,-22.43,-151.33,70.23,65,10,8.43,clear sky
216,Freeport,US,40.66,-73.58,82.0,69,20,12.75,few clouds
217,Ordynskoye,RU,54.37,81.9,51.85,92,0,5.12,clear sky
218,Lagoa,PT,39.05,-27.98,73.29,90,0,15.14,clear sky
219,Svetlogorsk,BY,52.63,29.73,63.88,98,97,4.0,light rain
220,Kitimat,CA,54.05,-128.65,59.0,82,90,4.7,light rain
221,Ahipara,NZ,-35.17,173.17,56.68,80,91,18.14,light rain
222,Zhoucun,CN,36.82,117.82,77.77,85,94,10.47,overcast clouds
223,Coruripe,BR,-10.13,-36.18,73.0,80,21,7.07,few clouds
224,Coahuayana,MX,18.73,-103.68,84.2,74,75,9.17,broken clouds
225,Bengkulu,ID,-3.8,102.27,75.81,86,100,4.29,overcast clouds
226,Healesville,AU,-37.65,145.52,43.0,99,68,1.43,broken clouds
227,Batouri,CM,4.43,14.37,67.26,98,100,2.71,light rain
228,Pitimbu,BR,-7.47,-34.81,73.4,83,57,6.93,broken clouds
229,Grand Gaube,MU,-20.01,57.66,70.0,78,24,7.0,few clouds
230,Mount Gambier,AU,-37.83,140.77,41.0,93,75,9.17,light intensity shower rain
231,Payakumbuh,ID,-0.22,100.63,69.39,84,92,0.02,overcast clouds
232,Havoysund,NO,71.0,24.66,53.6,87,75,10.29,broken clouds
233,Bandarbeyla,SO,9.49,50.81,75.87,76,91,31.09,overcast clouds
234,Filadelfia,US,39.95,-75.16,87.01,69,75,8.05,light rain
235,Reconquista,AR,-29.15,-59.65,63.07,53,0,10.2,clear sky
236,Galveston,US,29.37,-94.97,91.99,55,20,16.11,few clouds
237,Solton,RU,52.84,86.48,49.77,93,1,3.94,clear sky
238,Atar,MR,20.52,-13.05,100.08,24,38,9.86,scattered clouds
239,Acarau,BR,-2.89,-40.12,77.83,76,32,19.13,scattered clouds
240,Batemans Bay,AU,-35.72,150.18,33.01,87,0,1.01,clear sky
241,Charlestown,AU,-32.95,151.67,48.99,72,0,5.01,clear sky
242,Bandipur,NP,27.93,84.42,66.96,100,90,1.81,overcast clouds
243,Wum,CM,6.38,10.07,64.26,99,100,0.76,light rain
244,Camopi,GF,3.17,-52.32,81.14,66,30,3.53,light rain
245,Tuktoyaktuk,CA,69.45,-133.04,68.0,56,75,12.75,broken clouds
246,Katsuura,JP,35.13,140.3,77.0,92,100,7.67,overcast clouds
247,Tateyama,JP,34.98,139.87,77.0,92,97,8.08,overcast clouds
248,Prince Rupert,CA,54.32,-130.32,55.4,100,90,5.82,light rain
249,Kasongo,CD,-4.45,26.67,75.34,74,99,4.81,light rain
250,Muros,ES,42.78,-9.06,66.99,78,0,3.0,clear sky
251,Roseburg,US,43.22,-123.34,86.0,37,1,3.36,clear sky
252,Funtua,NG,11.52,7.31,71.1,89,100,7.14,light rain
253,Sitka,US,57.05,-135.33,57.2,87,90,4.7,overcast clouds
254,Warrington,GB,53.39,-2.58,60.8,77,75,8.05,broken clouds
255,Mbala,ZM,-8.84,31.37,59.45,63,20,9.78,few clouds
256,Grand Baie,MU,-20.02,57.58,70.0,78,27,5.99,scattered clouds
