City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
465,Gat,IL,80.01,clear sky,31.61,34.76,רגע בנחת
470,Baoying,CN,75.24,clear sky,33.23,119.31,GreenTree Alliance Yangzhou Baoying Town Huaijiang Street East Taishan Road Hotel
479,Alcains,PT,82.0,clear sky,39.92,-7.46,Casa do Balcão
481,Sa Kaeo,TH,75.13,overcast clouds,13.81,102.07,Thanasiri Hotel & Resort
486,Bairiki,KI,84.2,scattered clouds,1.33,172.98,Tarawa Boutique Hotel
488,Banjar,ID,77.0,few clouds,-8.19,114.97,The Hamsa Resort
493,Dehloran,IR,87.39,clear sky,32.69,47.27,مسافرخانه قدس(عبدالله خداکرمی)
495,Phalodi,IN,88.5,clear sky,27.13,72.37,Hotel Fort View
496,Acajutla,SV,80.6,light rain,13.59,-89.83,Stop.
498,Teloloapan,MX,87.01,light rain,18.35,-99.85,Hotel Las Palmas
499,San Quintin,MX,80.44,clear sky,30.48,-115.95,Old Mill Hotel
502,Itarema,BR,78.15,few clouds,-2.92,-39.92,Windvillage
505,Villa Union,MX,89.6,scattered clouds,23.2,-106.23,My Fantasy Auto-Hotel
510,Villa Bruzual,VE,80.13,light rain,9.33,-69.12,Hotel Turen
512,Aquiraz,BR,78.8,scattered clouds,-3.9,-38.39,Hotel Laguna Blu
513,Sauk Rapids,US,90.0,clear sky,45.59,-94.17,Best Western Plus Kelly Inn
516,Tecoanapa,MX,85.1,light rain,16.52,-98.75,Hotel Manglares
521,Williston,US,84.0,scattered clouds,48.15,-103.62,Hampton Inn & Suites Williston
527,Hirado,JP,78.8,few clouds,33.36,129.55,Samson Hotel
532,Mahina,PF,80.6,scattered clouds,-17.51,-149.49,Guest Beach Bungalow Tahiti
534,Posse,BR,76.73,broken clouds,-14.09,-46.37,Pousada das Palmeiras
535,Taraza,CO,83.98,light rain,7.58,-75.4,Hotel Monteverde
536,Marzuq,YE,83.53,overcast clouds,14.4,46.47,
539,Bintulu,MY,75.2,scattered clouds,3.17,113.03,900 Boutique INN
544,Quang Ngai,VN,76.12,overcast clouds,15.12,108.8,Central Hotel
545,Hamilton,US,87.01,thunderstorm,39.18,-84.53,Six Acres Bed & Breakfast
549,Araguacu,BR,84.88,broken clouds,-12.93,-49.83,Brunas Park Hotel
552,Sur,OM,80.31,broken clouds,22.57,59.53,Sur Plaza Hotel
554,Merrill,US,84.2,overcast clouds,45.18,-89.68,Prairie Motel
559,Ban Dung,TH,75.49,light rain,17.7,103.26,Heuan Na Khee
562,Eirunepe,BR,82.02,clear sky,-6.66,-69.87,Pousada Novo Acre
566,Nicoya,CR,80.6,broken clouds,10.15,-85.45,Guayacan Real
568,Ahuimanu,US,87.8,broken clouds,21.44,-157.84,Paradise Bay Resort
569,Parambu,BR,77.9,clear sky,-6.21,-40.69,Hotel pousada santo onofre
570,Honiara,SB,75.2,overcast clouds,-9.43,159.95,Heritage Park Hotel
571,Nishihara,JP,82.4,light intensity shower rain,26.18,127.76,Minshuku Agaihama
572,Fare,PF,77.4,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
575,Santo Antonio Do Ica,BR,81.73,clear sky,-3.1,-67.94,Hotel Fogaça
576,Aleppo,SY,75.81,clear sky,36.25,37.5,
580,Kijang,KR,75.2,scattered clouds,35.24,129.21,Brown Dot Gijang Yeonhwari
582,Alghero,IT,77.0,clear sky,40.56,8.32,Hotel Carlos V
584,Lingao,CN,80.35,clear sky,19.91,109.69,Lingao Ditai Inn
587,Misratah,LY,80.22,few clouds,32.38,15.09,فندق الماسة
588,Nizwa,OM,85.08,overcast clouds,22.93,57.53,Orient Apartments
590,Sibolga,ID,75.65,scattered clouds,1.74,98.78,Hotel Syariah CN Darussalam
593,Upata,VE,78.01,light rain,8.01,-62.4,Posada Villa Nela
596,Fukue,JP,82.02,clear sky,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
600,Lamu,KE,75.31,scattered clouds,-2.27,40.9,Lamu House
602,Asyut,EG,84.2,clear sky,27.18,31.18,Florence Hotel Assiut
606,Conceicao Do Araguaia,BR,85.55,broken clouds,-8.26,-49.26,Tarumã Tropical Hotel
607,Lekoni,GA,75.78,light rain,-1.58,14.26,Rendez-vous Des ChasseursD
610,Kavaratti,IN,81.75,light rain,10.57,72.64,Bismillah Hotel And Lodging
611,Bhongaon,IN,78.91,scattered clouds,27.25,79.18,Railway Station Toad
618,Sinnamary,GF,82.2,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
620,Dhidhdhoo,MV,82.9,moderate rain,6.88,73.1,Dhidhoo beach
621,Maues,BR,87.89,overcast clouds,-3.38,-57.72,Hotel Miramar
623,Kuchaman,IN,78.31,clear sky,27.15,74.85,VMG Hostel Kuchaman City for Boys and Girls student
625,Marawi,PH,75.0,broken clouds,8.0,124.29,Salihmaruhom
642,Bayji,IQ,80.73,clear sky,34.93,43.49,قريه جديده
643,Robertsport,LR,76.86,light rain,6.75,-11.37,Kwepunha Retreat
646,Acapulco,MX,86.0,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
647,Denia,ES,81.0,few clouds,38.84,0.11,Hotel Port Dénia
648,Panaba,MX,84.74,moderate rain,21.28,-88.27,Hotel Amor
651,Gananoque,CA,82.0,moderate rain,44.33,-76.17,Ramada by Wyndham Gananoque Provincial Inn
653,Cape Canaveral,US,89.6,clear sky,28.41,-80.6,Residence Inn by Marriott Cape Canaveral Cocoa Beach
654,Camalu,MX,82.0,clear sky,30.85,-116.07,La Cueva del Pirata
655,Griffith,US,89.01,scattered clouds,41.53,-87.42,"Motel 6 Hammond, IN - Chicago Area"
660,Qeshm,IR,89.6,haze,26.96,56.27,Kimia IV Hotel
662,Tiruppuvanam,IN,81.16,light rain,9.83,78.27,Kali amam kovil
663,Mogadishu,SO,76.21,overcast clouds,2.04,45.34,Hotel Juba
664,Guia De Isora,ES,78.01,clear sky,28.21,-16.78,La Vista Pension
666,Careiro Da Varzea,BR,84.2,scattered clouds,-3.2,-59.81,POUSADA DA ALDENORA
669,San Policarpo,PH,79.81,few clouds,12.18,125.51,Zal-Ann Beach Resort
670,Dakoro,NE,85.8,broken clouds,14.51,6.76,boukha ag ghamran
671,Kattivakkam,IN,84.2,broken clouds,13.22,80.32,St. Joseph Thirumana mandapam
672,Puerto Leguizamo,CO,82.8,broken clouds,-0.19,-74.78,la casona de juancho
677,Puro,PH,81.25,overcast clouds,12.48,123.38,
679,Thai Binh,VN,84.2,few clouds,20.45,106.33,Hội Liên Hiệp Phụ Nữ Tỉnh Thái Bình
687,Sabalgarh,IN,77.2,light rain,26.25,77.4,Kailadevi studio
690,Tambilil,PH,78.53,broken clouds,5.96,124.67,Wilfredo Sotto Home
691,Paralia,GR,77.0,clear sky,38.2,21.7,Dionisos Elia
696,San Cristobal,VE,89.6,scattered clouds,7.77,-72.22,Pirineos
698,Tarakan,ID,78.1,moderate rain,3.3,117.63,Hotel D' CaLia Tarakan
699,Jablanica,BA,77.0,clear sky,43.66,17.76,Motel Maksumić
700,Mabaruma,GY,79.57,light rain,8.2,-59.78,
702,Gushikawa,JP,82.4,heavy intensity rain,26.35,127.87,Kirari Guest House
703,Barisal,BD,79.09,scattered clouds,22.7,90.37,Hotel Arefin Residential
707,Tari,NG,79.09,light rain,12.41,4.49,
709,Chapada Dos Guimaraes,BR,89.6,smoke,-15.46,-55.75,Pousada Morro Dos Ventos
716,Tuy Hoa,VN,77.94,overcast clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
718,Itabaiana,BR,78.8,scattered clouds,-10.69,-37.43,Pousada Santana
