City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
170,Bathsheba,BB,2020-08-22 23:57:30,13.22,-59.52,82.4,78,20,4.7
171,Bambous Virieux,MU,2020-08-22 23:57:30,-20.34,57.76,69.8,77,40,12.75
172,Ambilobe,MG,2020-08-22 23:57:30,-13.2,49.05,65.14,67,80,4.97
173,Airai,TL,2020-08-22 23:57:30,-8.93,125.41,69.64,32,65,5.06
174,Yellowknife,CA,2020-08-22 23:57:30,62.46,-114.35,60.8,59,40,14.99
175,Tasiilaq,GL,2020-08-22 23:57:30,65.61,-37.64,42.8,68,61,5.82
176,Svetlaya,RU,2020-08-22 23:57:30,46.54,138.33,70.21,64,97,1.92
177,Srednekolymsk,RU,2020-08-22 23:57:30,67.45,153.68,36.46,94,100,11.18
178,Iqaluit,CA,2020-08-22 23:57:30,63.75,-68.51,42.8,93,20,5.82
179,Dawlatabad,AF,2020-08-22 23:57:30,36.41,64.91,68.63,24,0,1.61
180,Manaure,CO,2020-08-22 23:57:30,11.78,-72.44,82.94,79,61,9.82
181,Port-Gentil,GA,2020-08-22 23:57:30,-0.72,8.78,77.0,83,90,12.66
182,Sabha,LY,2020-08-22 23:57:30,27.04,14.43,79.07,35,0,12.41
183,Bac Lieu,VN,2020-08-22 23:57:31,9.29,105.72,81.43,81,100,6.76
184,Pangnirtung,CA,2020-08-22 23:57:31,66.15,-65.71,50.97,64,1,2.86
185,Ende,ID,2020-08-22 23:54:55,-8.84,121.66,80.56,58,11,0.76
186,Codrington,AU,2020-08-22 23:57:31,-38.27,141.97,49.1,81,65,16.46
187,Avanigadda,IN,2020-08-22 23:57:31,16.02,80.92,80.74,83,82,8.01
188,Gunjur,GM,2020-08-22 23:57:31,13.2,-16.73,78.8,94,20,2.24
189,Torbay,CA,2020-08-22 23:54:22,47.67,-52.73,63.0,72,20,10.29
190,Dvinskoy,RU,2020-08-22 23:57:31,62.15,45.12,54.7,93,0,2.46
191,Petauke,ZM,2020-08-22 23:54:39,-14.24,31.33,57.47,78,0,13.51
192,Fort Nelson,CA,2020-08-22 23:57:31,58.81,-122.7,60.8,87,75,9.17
193,Novoukrayinka,UA,2020-08-22 23:57:31,48.33,31.53,59.47,72,22,7.23
194,Goundam,ML,2020-08-22 23:57:31,16.41,-3.67,83.44,53,96,17.38
195,Tuy Hoa,VN,2020-08-22 23:57:31,13.08,109.3,80.78,78,96,5.01
196,Maposeni,TZ,2020-08-22 23:57:31,-10.58,35.4,58.42,79,33,4.25
197,Blind River,CA,2020-08-22 23:57:31,46.18,-82.96,71.6,83,75,5.82
198,Savonlinna,FI,2020-08-22 23:57:31,61.87,28.88,60.8,93,90,13.87
199,Chagoda,RU,2020-08-22 23:57:31,59.16,35.33,55.56,82,92,5.19
200,Padang,ID,2020-08-22 23:57:32,-0.95,100.35,78.15,78,100,3.27
201,Half Moon Bay,US,2020-08-22 23:57:32,37.46,-122.43,86.0,82,1,8.05
202,Bengkulu,ID,2020-08-22 23:57:32,-3.8,102.27,75.96,85,70,3.87
203,Tiarei,PF,2020-08-22 23:57:32,-17.53,-149.33,84.2,54,40,2.24
204,Hermanus,ZA,2020-08-22 23:57:32,-34.42,19.23,55.99,83,24,1.99
205,Provideniya,RU,2020-08-22 23:54:31,64.38,-173.3,51.69,81,100,6.69
206,Aswan,EG,2020-08-22 23:57:32,24.09,32.91,81.91,32,0,8.01
207,Trairi,BR,2020-08-22 23:54:22,-3.28,-39.27,77.27,83,1,12.71
208,Tera,NE,2020-08-22 23:57:32,14.01,0.75,81.23,65,23,14.72
209,Dzilam Gonzalez,MX,2020-08-22 23:57:32,21.28,-88.93,82.4,78,42,5.46
210,Oga,IT,2020-08-22 23:57:32,46.46,10.35,57.99,100,47,2.24
211,Tual,ID,2020-08-22 23:57:32,-5.67,132.75,79.36,80,26,16.58
212,Dunedin,NZ,2020-08-22 23:57:06,-45.87,170.5,50.0,91,75,11.99
213,Spornoye,RU,2020-08-22 23:57:32,50.84,37.29,55.4,71,0,6.71
214,Lagoa,PT,2020-08-22 23:57:32,39.05,-27.98,72.66,83,48,10.4
215,Levokumskoye,RU,2020-08-22 23:57:32,44.82,44.66,63.77,70,78,6.82
216,Cherskiy,RU,2020-08-22 23:57:32,68.75,161.3,35.98,94,100,23.06
217,Sarnen,CH,2020-08-22 23:57:32,46.9,8.25,66.2,82,90,2.24
218,Nakusp,CA,2020-08-22 23:57:32,50.25,-117.8,71.01,54,10,1.01
219,Deniliquin,AU,2020-08-22 23:52:46,-35.53,144.97,51.01,75,0,1.99
220,Nome,US,2020-08-22 23:54:38,64.5,-165.41,55.4,82,90,10.29
221,Los Llanos De Aridane,ES,2020-08-22 23:57:33,28.66,-17.92,75.2,88,20,16.11
222,Port Lincoln,AU,2020-08-22 23:57:33,-34.73,135.87,53.31,58,45,10.76
223,Loandjili,CG,2020-08-22 23:57:33,-4.76,11.86,73.27,88,16,4.54
224,Helong,CN,2020-08-22 23:57:33,42.54,129.0,64.47,87,89,2.21
225,Taoudenni,ML,2020-08-22 23:57:33,22.68,-3.98,102.74,9,42,11.79
226,Anloga,GH,2020-08-22 23:57:33,5.79,0.9,75.2,94,40,6.93
227,Mezen,RU,2020-08-22 23:57:33,65.85,44.24,53.94,86,0,3.96
228,Abilene,US,2020-08-22 23:57:03,32.45,-99.73,95.0,34,1,6.93
229,Nelson Bay,AU,2020-08-22 23:57:33,-32.72,152.15,55.99,54,51,26.4
230,Hobyo,SO,2020-08-22 23:57:33,5.35,48.53,75.47,81,95,20.33
231,Zyryanka,RU,2020-08-22 23:57:33,65.75,150.85,40.55,75,100,13.15
232,Goderich,CA,2020-08-22 23:57:33,43.75,-81.72,78.01,74,6,4.79
233,Contratacion,CO,2020-08-22 23:57:33,6.29,-73.47,59.4,100,98,1.66
234,Atkarsk,RU,2020-08-22 23:57:33,51.87,45.01,51.75,85,25,7.29
235,Portel,BR,2020-08-22 23:57:33,-1.94,-50.82,75.0,90,56,0.96
236,Seoul,KR,2020-08-22 23:53:25,37.57,126.98,77.0,83,75,1.79
237,Llano De Piedra,PA,2020-08-22 23:57:33,7.67,-80.57,75.42,89,100,3.76
238,Anori,BR,2020-08-22 23:57:33,-3.77,-61.64,78.58,47,0,2.44
239,Ahipara,NZ,2020-08-22 23:57:33,-35.17,173.17,62.2,77,52,12.39
